route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"0009","20331000039","20331033235","Saint-Laurent","","1","09-37.2713702","0009-B-1390-1372","1",""
"0009","20331000052","20331033236","Saint-Laurent","","1","09-37.2714298","0009-B-1390-1372","1",""
"0009","20331000015","20331033237","Cleunay","","0","09-33.2713968","0009-A-1372-1390","1",""
"0009","20331000023","20331033238","Cleunay","","0","09-33.2708247","0009-A-1372-1390","1",""
"0009","20331000025","20331033239","Cleunay","","0","09-33.2713103","0009-A-1372-1390","1",""
"0050","20331000025","20331003324","Rennes République","","0","50-3.2712867","0050-A-3301-1563","1",""
"0009","20331000033","20331033240","Cleunay","","0","09-33.2713399","0009-A-1372-1390","1",""
"0009","20331000039","20331033241","Cleunay","","0","09-33.2713695","0009-A-1372-1390","1",""
"0009","20331000052","20331033242","Cleunay","","0","09-33.2714291","0009-A-1372-1390","1",""
"0009","20331000015","20331033243","Saint-Laurent","","1","09-1.2713959","0009-B-1390-1372","1",""
"0009","20331000023","20331033244","Saint-Laurent","","1","09-1.2708154","0009-B-1390-1372","1",""
"0009","20331000025","20331033245","Saint-Laurent","","1","09-1.2713090","0009-B-1390-1372","1",""
"0009","20331000033","20331033246","Saint-Laurent","","1","09-1.2713386","0009-B-1390-1372","1",""
"0009","20331000039","20331033247","Saint-Laurent","","1","09-1.2713681","0009-B-1390-1372","1",""
"0009","20331000052","20331033248","Saint-Laurent","","1","09-1.2714278","0009-B-1390-1372","1",""
"0009","20331000015","20331033249","Cleunay","","0","09-31.2713970","0009-A-1372-1390","1",""
"0050","20331000033","20331003325","Rennes République","","0","50-3.2713163","0050-A-3301-1563","1",""
"0009","20331000023","20331033250","Cleunay","","0","09-31.2708249","0009-A-1372-1390","1",""
"0009","20331000025","20331033251","Cleunay","","0","09-31.2713105","0009-A-1372-1390","1",""
"0009","20331000033","20331033252","Cleunay","","0","09-31.2713401","0009-A-1372-1390","1",""
"0009","20331000039","20331033253","Cleunay","","0","09-31.2713697","0009-A-1372-1390","1",""
"0009","20331000052","20331033254","Cleunay","","0","09-31.2714293","0009-A-1372-1390","1",""
"0009","20331000015","20331033255","Saint-Laurent","","1","09-34.2713974","0009-B-1390-1372","1",""
"0009","20331000023","20331033256","Saint-Laurent","","1","09-34.2708253","0009-B-1390-1372","1",""
"0009","20331000025","20331033257","Saint-Laurent","","1","09-34.2713109","0009-B-1390-1372","1",""
"0009","20331000033","20331033258","Saint-Laurent","","1","09-34.2713405","0009-B-1390-1372","1",""
"0009","20331000039","20331033259","Saint-Laurent","","1","09-34.2713701","0009-B-1390-1372","1",""
"0050","20331000039","20331003326","Rennes République","","0","50-3.2713579","0050-A-3301-1563","1",""
"0009","20331000052","20331033260","Saint-Laurent","","1","09-34.2714297","0009-B-1390-1372","1",""
"0009","20331000015","20331033261","Cleunay","","0","09-35.2713976","0009-A-1372-1390","1",""
"0009","20331000023","20331033262","Cleunay","","0","09-35.2708255","0009-A-1372-1390","1",""
"0009","20331000025","20331033263","Cleunay","","0","09-35.2713111","0009-A-1372-1390","1",""
"0009","20331000033","20331033264","Cleunay","","0","09-35.2713407","0009-A-1372-1390","1",""
"0009","20331000039","20331033265","Cleunay","","0","09-35.2713694","0009-A-1372-1390","1",""
"0009","20331000052","20331033266","Cleunay","","0","09-35.2714299","0009-A-1372-1390","1",""
"0009","20331000015","20331033267","Saint-Laurent","","1","09-3.2713973","0009-B-1390-1372","1",""
"0009","20331000023","20331033268","Saint-Laurent","","1","09-3.2708252","0009-B-1390-1372","1",""
"0009","20331000025","20331033269","Saint-Laurent","","1","09-3.2713108","0009-B-1390-1372","1",""
"0050","20331000052","20331003327","Rennes République","","0","50-3.2714055","0050-A-3301-1563","1",""
"0009","20331000033","20331033270","Saint-Laurent","","1","09-3.2713404","0009-B-1390-1372","1",""
"0009","20331000039","20331033271","Saint-Laurent","","1","09-3.2713700","0009-B-1390-1372","1",""
"0009","20331000052","20331033272","Saint-Laurent","","1","09-3.2714296","0009-B-1390-1372","1",""
"0009","20331000015","20331033273","Cleunay","","0","09-36.2713972","0009-A-1372-1390","1",""
"0009","20331000023","20331033274","Cleunay","","0","09-36.2708251","0009-A-1372-1390","1",""
"0009","20331000025","20331033275","Cleunay","","0","09-36.2713107","0009-A-1372-1390","1",""
"0009","20331000033","20331033276","Cleunay","","0","09-36.2713403","0009-A-1372-1390","1",""
"0009","20331000039","20331033277","Cleunay","","0","09-36.2713699","0009-A-1372-1390","1",""
"0009","20331000052","20331033278","Cleunay","","0","09-36.2714295","0009-A-1372-1390","1",""
"0009","20331000015","20331033279","Saint-Laurent","","1","09-2.2713950","0009-B-1390-1372","1",""
"0050","20331000015","20331003328","Rennes République","","0","53-1.2713746","0050-A-3301-1563","1",""
"0009","20331000023","20331033280","Saint-Laurent","","1","09-2.2708123","0009-B-1390-1372","1",""
"0009","20331000025","20331033281","Saint-Laurent","","1","09-2.2713077","0009-B-1390-1372","1",""
"0009","20331000033","20331033282","Saint-Laurent","","1","09-2.2713373","0009-B-1390-1372","1",""
"0009","20331000039","20331033283","Saint-Laurent","","1","09-2.2713669","0009-B-1390-1372","1",""
"0009","20331000052","20331033284","Saint-Laurent","","1","09-2.2714265","0009-B-1390-1372","1",""
"0009","20331000015","20331033285","Cleunay","","0","09-32.2713971","0009-A-1372-1390","1",""
"0009","20331000023","20331033286","Cleunay","","0","09-32.2708250","0009-A-1372-1390","1",""
"0009","20331000025","20331033287","Cleunay","","0","09-32.2713106","0009-A-1372-1390","1",""
"0009","20331000033","20331033288","Cleunay","","0","09-32.2713402","0009-A-1372-1390","1",""
"0009","20331000039","20331033289","Cleunay","","0","09-32.2713698","0009-A-1372-1390","1",""
"0050","20331000023","20331003329","Rennes République","","0","53-1.2707081","0050-A-3301-1563","1",""
"0009","20331000052","20331033290","Cleunay","","0","09-32.2714294","0009-A-1372-1390","1",""
"0009","20331000015","20331033291","Saint-Laurent","","1","09-33.2713968","0009-B-1390-1372","1",""
"0009","20331000023","20331033292","Saint-Laurent","","1","09-33.2708247","0009-B-1390-1372","1",""
"0009","20331000025","20331033293","Saint-Laurent","","1","09-33.2713103","0009-B-1390-1372","1",""
"0009","20331000033","20331033294","Saint-Laurent","","1","09-33.2713399","0009-B-1390-1372","1",""
"0009","20331000039","20331033295","Saint-Laurent","","1","09-33.2713695","0009-B-1390-1372","1",""
"0009","20331000052","20331033296","Saint-Laurent","","1","09-33.2714291","0009-B-1390-1372","1",""
